id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
3290,boardgame,Maskenball Venezia,1999,5,12,20,20,20,10,67,5.44179,5.48913,157,8,4,8,30,9,1.1111
173857,boardgame,Šmizling,2005,2,4,25,15,25,5,3,6,0,4,0,0,0,1,4,1
202583,boardgame,Rise of Tribes,2017,2,4,45,30,45,8,1,9,0,0,0,0,7,0,0,0
18061,boardgame,Chennault's First Fight,2005,2,2,300,300,300,12,41,6.76444,5.5513,270,10,9,12,33,11,2.9091
133589,boardgame,Wale und Delfine Quiz-Spiel,2006,2,4,20,20,20,8,0,0,0,1,0,0,1,0,0,0
183294,boardgame,Monopoly Junior: Sofia the first,0,2,3,0,0,0,5,0,0,0,5,0,0,0,0,0,0
218096,boardgameexpansion,Ninja Camp: Participation Ribbon,2016,2,4,30,15,30,14,1,6,0,22,0,0,2,1,0,0
18900,boardgame,Altar,1987,2,2,60,60,60,0,4,5,0,7,0,16,19,4,1,2
184564,boardgameexpansion,Lock 'n Load Tactical: Days of Villainy,2015,2,2,480,120,480,12,11,7.54545,0,55,1,5,12,4,2,3
36917,boardgame,Forms,2007,2,2,20,20,20,0,4,5.5,0,3,0,0,1,4,1,2
52009,boardgame,Strategy Astrology Game,1964,2,8,30,30,30,6,0,0,0,1,1,0,0,0,0,0
13278,boardgame,Clifford Crazy Eights Card Game,2003,2,4,10,10,10,8,2,4.5,0,3,0,0,0,1,0,0
161578,boardgame,[redacted],2014,2,6,45,45,45,12,490,6.38578,5.8061,1278,94,55,250,160,38,2.9211
1998,boardgame,Tutankhamen's Revenge,1990,2,6,30,30,30,8,94,5.31383,5.47673,253,11,3,11,31,15,1.4
22173,boardgame,Great American History Games,2000,1,8,5,5,5,12,0,0,0,0,0,0,2,0,0,0
17568,boardgame,Magic Robot Quiz Game,1935,1,0,0,0,0,7,25,3.476,0,51,4,1,5,13,2,1
84783,boardgame,Coerceo,2011,2,2,45,45,45,9,69,6.81812,5.59316,100,4,21,79,37,3,3.3333
25825,boardgame,Äffchen,1973,2,2,10,10,10,6,0,0,0,5,0,0,0,0,0,0
66747,boardgame,Monopoly: ASML Special Edition,2007,2,8,90,90,90,8,2,4.5,0,8,0,0,0,3,0,0
172547,boardgame,Queen's Architect,2015,2,4,60,60,60,10,661,6.98573,6.13096,1288,62,111,418,164,47,2.7447
31670,boardgame,Triple Cross: Modern Chess,1980,2,3,0,0,0,0,1,6.5,0,4,0,0,0,0,0,0
127608,boardgame,Ghosts in the Grid,2012,2,4,0,0,0,12,10,4.8,0,29,4,6,10,6,0,0
20947,boardgame,Lady Oscar,2002,2,6,0,0,0,9,0,0,0,2,0,0,1,0,0,0
135091,boardgame,The USS Ocius,2012,2,6,30,30,30,12,4,6.875,0,3,0,2,5,3,2,2.5
69318,boardgame,Perpetual-Motion Machine,2010,2,4,45,45,45,8,194,6.06077,5.6029,213,17,16,33,66,25,1.64
40178,boardgame,Amoeba,2009,2,6,20,20,20,0,10,7.125,0,16,0,0,5,9,2,2
